Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.0126
Label,
TIME,CH2
-7.9680e-03,0.00484903
-7.9648e-03,0.00350437
-7.9616e-03,0.00405169
-7.9584e-03,0.00407137
-7.9552e-03,0.00446119
-7.9520e-03,0.00422691
-7.9488e-03,0.00348075
-7.9456e-03,0.00430566
-7.9424e-03,0.00308503
-7.9392e-03,0.00534516
-7.9360e-03,0.00442969
-7.9328e-03,0.00481162
-7.9296e-03,0.00418359
-7.9264e-03,0.00474862
-7.9232e-03,0.00325631
-7.9200e-03,0.00436472
-7.9168e-03,0.00463444
-7.9136e-03,0.00364809
-7.9104e-03,0.004473
-7.9072e-03,0.00431747
-7.9040e-03,0.00439425
-7.9008e-03,0.00449269
-7.8976e-03,0.00557747
-7.8944e-03,0.00421706
-7.8912e-03,0.00487659
-7.8880e-03,0.00407137
-7.8848e-03,0.00537666
-7.8816e-03,0.00418359
-7.8784e-03,0.00526444
-7.8752e-03,0.00461081
-7.8720e-03,0.00572906
-7.8688e-03,0.00388041
-7.8656e-03,0.00528019
-7.8624e-03,0.00429975
-7.8592e-03,0.00478012
-7.8560e-03,0.00483525
-7.8528e-03,0.00562275
-7.8496e-03,0.00439425
-7.8464e-03,0.00504787
-7.8432e-03,0.00318741
-7.8400e-03,0.00406744
-7.8368e-03,0.00403791
-7.8336e-03,0.00386269
-7.8304e-03,0.00493959
-7.8272e-03,0.0044415
-7.8240e-03,0.00469547
-7.8208e-03,0.00327009
-7.8176e-03,0.00555778
-7.8144e-03,0.00414422
-7.8112e-03,0.00447497
-7.8080e-03,0.00438441
-7.8048e-03,0.00524081
-7.8016e-03,0.00573103
-7.7984e-03,0.00371306
-7.7952e-03,0.00432337
-7.7920e-03,0.00385481
-7.7888e-03,0.00414816
-7.7856e-03,0.00305747
-7.7824e-03,0.00420131
-7.7792e-03,0.00294919
-7.7760e-03,0.00403003
-7.7728e-03,0.00272475
-7.7696e-03,0.00428794
-7.7664e-03,0.00358509
-7.7632e-03,0.00476437
-7.7600e-03,0.00439425
-7.7568e-03,0.00394537
-7.7536e-03,0.00382922
-7.7504e-03,0.00408319
-7.7472e-03,0.00361659
-7.7440e-03,0.00366581
-7.7408e-03,0.00360478
-7.7376e-03,0.00440409
-7.7344e-03,0.00410287
-7.7312e-03,0.00289603
-7.7280e-03,0.0038115
-7.7248e-03,0.00365006
-7.7216e-03,0.00439425
-7.7184e-03,0.00363234
-7.7152e-03,0.003906
-7.7120e-03,0.00289603
-7.7088e-03,0.00336066
-7.7056e-03,0.00341381
-7.7024e-03,0.00424462
-7.6992e-03,0.00556959
-7.6960e-03,0.00412847
-7.6928e-03,0.00524869
-7.6896e-03,0.00384497
-7.6864e-03,0.00446119
-7.6832e-03,0.0031185
-7.6800e-03,0.00400837
-7.6768e-03,0.00403397
-7.6736e-03,0.00369731
-7.6704e-03,0.00487069
-7.6672e-03,0.00337641
-7.6640e-03,0.00467578
-7.6608e-03,0.00338231
-7.6576e-03,0.00449269
-7.6544e-03,0.00391387
-7.6512e-03,0.00462656
-7.6480e-03,0.00402019
-7.6448e-03,0.00500653
-7.6416e-03,0.00413437
-7.6384e-03,0.00503803
-7.6352e-03,0.00420919
-7.6320e-03,0.00431156
-7.6288e-03,0.00413044
-7.6256e-03,0.00454387
-7.6224e-03,0.00357525
-7.6192e-03,0.00433912
-7.6160e-03,0.00407137
-7.6128e-03,0.00377803
-7.6096e-03,0.00365794
-7.6064e-03,0.00401625
-7.6032e-03,0.004662
-7.6000e-03,0.00370912
-7.5968e-03,0.00509119
-7.5936e-03,0.00379181
-7.5904e-03,0.00426431
-7.5872e-03,0.00303187
-7.5840e-03,0.00371897
-7.5808e-03,0.00260269
-7.5776e-03,0.00425447
-7.5744e-03,0.00306731
-7.5712e-03,0.00329766
-7.5680e-03,0.00315197
-7.5648e-03,0.00392962
-7.5616e-03,0.00362841
-7.5584e-03,0.00288816
-7.5552e-03,0.00375047
-7.5520e-03,0.00311653
-7.5488e-03,0.00295706
-7.5456e-03,0.00211641
-7.5424e-03,0.00437259
-7.5392e-03,0.00397687
-7.5360e-03,0.00509119
-7.5328e-03,0.00480572
-7.5296e-03,0.00458719
-7.5264e-03,0.00441394
-7.5232e-03,0.00306337
-7.5200e-03,0.00420525
-7.5168e-03,0.00461475
-7.5136e-03,0.00473681
-7.5104e-03,0.00396703
-7.5072e-03,0.00487266
-7.5040e-03,0.00354178
-7.5008e-03,0.00453797
-7.4976e-03,0.00366187
-7.4944e-03,0.00354572
-7.4912e-03,0.00325237
-7.4880e-03,0.00492581
-7.4848e-03,0.00402019
-7.4816e-03,0.00395522
-7.4784e-03,0.00410484
-7.4752e-03,0.00495337
-7.4720e-03,0.00581372
-7.4688e-03,0.00366187
-7.4656e-03,0.00469547
-7.4624e-03,0.00352012
-7.4592e-03,0.00475847
-7.4560e-03,0.00460294
-7.4528e-03,0.00455175
-7.4496e-03,0.00348666
-7.4464e-03,0.00410681
-7.4432e-03,0.00426037
-7.4400e-03,0.00499275
-7.4368e-03,0.00529003
-7.4336e-03,0.00437653
-7.4304e-03,0.00508725
-7.4272e-03,0.00408712
-7.4240e-03,0.00480769
-7.4208e-03,0.00386269
-7.4176e-03,0.00484706
-7.4144e-03,0.00428794
-7.4112e-03,0.00389025
-7.4080e-03,0.00378787
-7.4048e-03,0.00394144
-7.4016e-03,0.00512859
-7.3984e-03,0.00375441
-7.3952e-03,0.00533728
-7.3920e-03,0.00378197
-7.3888e-03,0.00439819
-7.3856e-03,0.00407137
-7.3824e-03,0.00526641
-7.3792e-03,0.00409894
-7.3760e-03,0.00486281
-7.3728e-03,0.00444347
-7.3696e-03,0.00388041
-7.3664e-03,0.00428794
-7.3632e-03,0.00378787
-7.3600e-03,0.00353391
-7.3568e-03,0.00373275
-7.3536e-03,0.00239006
-7.3504e-03,0.00299644
-7.3472e-03,0.00395916
-7.3440e-03,0.00377409
-7.3408e-03,0.00430172
-7.3376e-03,0.00487266
-7.3344e-03,0.00432337
-7.3312e-03,0.00506166
-7.3280e-03,0.00608541
-7.3248e-03,0.00357328
-7.3216e-03,0.00471712
-7.3184e-03,0.00361856
-7.3152e-03,0.00399459
-7.3120e-03,0.00385481
-7.3088e-03,0.00502031
-7.3056e-03,0.00431747
-7.3024e-03,0.00528019
-7.2992e-03,0.00411272
-7.2960e-03,0.00490612
-7.2928e-03,0.00593381
-7.2896e-03,0.00442969
-7.2864e-03,0.005985
-7.2832e-03,0.00398475
-7.2800e-03,0.00541603
-7.2768e-03,0.00467775
-7.2736e-03,0.00349847
-7.2704e-03,0.00390403
-7.2672e-03,0.00459112
-7.2640e-03,0.00568181
-7.2608e-03,0.00514041
-7.2576e-03,0.00504
-7.2544e-03,0.00451041
-7.2512e-03,0.00508134
-7.2480e-03,0.00334097
-7.2448e-03,0.00481359
-7.2416e-03,0.00334687
-7.2384e-03,0.00453797
-7.2352e-03,0.00338231
-7.2320e-03,0.00415406
-7.2288e-03,0.00413241
-7.2256e-03,0.00460491
-7.2224e-03,0.00375834
-7.2192e-03,0.00519356
-7.2160e-03,0.00601453
-7.2128e-03,0.00455766
-7.2096e-03,0.00482147
-7.2064e-03,0.00423675
-7.2032e-03,0.00469547
-7.2000e-03,0.00366187
-7.1968e-03,0.00533531
-7.1936e-03,0.00392766
-7.1904e-03,0.00425841
-7.1872e-03,0.00312244
-7.1840e-03,0.00422887
-7.1808e-03,0.00368944
-7.1776e-03,0.00420919
-7.1744e-03,0.00312834
-7.1712e-03,0.00501637
-7.1680e-03,0.00487266
-7.1648e-03,0.00425841
-7.1616e-03,0.00416981
-7.1584e-03,0.00442772
-7.1552e-03,0.00512466
-7.1520e-03,0.00316378
-7.1488e-03,0.00409303
-7.1456e-03,0.00339216
-7.1424e-03,0.00488053
-7.1392e-03,0.00388237
-7.1360e-03,0.00466791
-7.1328e-03,0.00311653
-7.1296e-03,0.00409697
-7.1264e-03,0.00426825
-7.1232e-03,0.00336853
-7.1200e-03,0.00428597
-7.1168e-03,0.00336853
-7.1136e-03,0.00482147
-7.1104e-03,0.00414028
-7.1072e-03,0.00431944
-7.1040e-03,0.00390994
-7.1008e-03,0.00449269
-7.0976e-03,0.003969
-7.0944e-03,0.00545541
-7.0912e-03,0.00552628
-7.0880e-03,0.00420525
-7.0848e-03,0.00407531
-7.0816e-03,0.00303187
-7.0784e-03,0.00295509
-7.0752e-03,0.00415997
-7.0720e-03,0.00525066
-7.0688e-03,0.0039375
-7.0656e-03,0.00385481
-7.0624e-03,0.00265191
-7.0592e-03,0.00278381
-7.0560e-03,0.00373669
-7.0528e-03,0.00478209
-7.0496e-03,0.00357328
-7.0464e-03,0.00455569
-7.0432e-03,0.00380953
-7.0400e-03,0.00490809
-7.0368e-03,0.00264009
-7.0336e-03,0.00448875
-7.0304e-03,0.00359887
-7.0272e-03,0.00379181
-7.0240e-03,0.00346106
-7.0208e-03,0.00390797
-7.0176e-03,0.00386859
-7.0144e-03,0.00264009
-7.0112e-03,0.00429187
-7.0080e-03,0.00397097
-7.0048e-03,0.00429975
-7.0016e-03,0.00295706
-6.9984e-03,0.00429975
-6.9952e-03,0.00341381
-6.9920e-03,0.00389222
-6.9888e-03,0.00304959
-6.9856e-03,0.00419934
-6.9824e-03,0.00480178
-6.9792e-03,0.00382725
-6.9760e-03,0.00380559
-6.9728e-03,0.00319725
-6.9696e-03,0.00375441
-6.9664e-03,0.00204553
-6.9632e-03,0.00363431
-6.9600e-03,0.00218531
-6.9568e-03,0.00257512
-6.9536e-03,0.00292753
-6.9504e-03,0.00361266
-6.9472e-03,0.00388041
-6.9440e-03,0.00306731
-6.9408e-03,0.00349059
-6.9376e-03,0.00375637
