Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH2
-7.1424e-03,0.00696874
-7.1392e-03,0.00809374
-7.1360e-03,0.00645312
-7.1328e-03,0.00799999
-7.1296e-03,0.00618749
-7.1264e-03,0.00709374
-7.1232e-03,0.00840624
-7.1200e-03,0.00698437
-7.1168e-03,0.00826562
-7.1136e-03,0.00737499
-7.1104e-03,0.00876562
-7.1072e-03,0.00665624
-7.1040e-03,0.00749999
-7.1008e-03,0.00693749
-7.0976e-03,0.00615624
-7.0944e-03,0.00629687
-7.0912e-03,0.00689062
-7.0880e-03,0.00693749
-7.0848e-03,0.00778124
-7.0816e-03,0.00784374
-7.0784e-03,0.00656249
-7.0752e-03,0.00796874
-7.0720e-03,0.00726562
-7.0688e-03,0.00812499
-7.0656e-03,0.00729687
-7.0624e-03,0.00884374
-7.0592e-03,0.00826562
-7.0560e-03,0.00817187
-7.0528e-03,0.00799999
-7.0496e-03,0.00859374
-7.0464e-03,0.00660937
-7.0432e-03,0.00762499
-7.0400e-03,0.00553124
-7.0368e-03,0.00671874
-7.0336e-03,0.00606249
-7.0304e-03,0.00782812
-7.0272e-03,0.00670312
-7.0240e-03,0.00764062
-7.0208e-03,0.00704687
-7.0176e-03,0.00754687
-7.0144e-03,0.00732812
-7.0112e-03,0.00815624
-7.0080e-03,0.00840624
-7.0048e-03,0.00684374
-7.0016e-03,0.00815624
-6.9984e-03,0.00693749
-6.9952e-03,0.00789062
-6.9920e-03,0.00640624
-6.9888e-03,0.00720312
-6.9856e-03,0.00670312
-6.9824e-03,0.00792187
-6.9792e-03,0.00770312
-6.9760e-03,0.00631249
-6.9728e-03,0.00795312
-6.9696e-03,0.00568749
-6.9664e-03,0.00748437
-6.9632e-03,0.00682812
-6.9600e-03,0.00776562
-6.9568e-03,0.00665624
-6.9536e-03,0.00749999
-6.9504e-03,0.00751562
-6.9472e-03,0.00759374
-6.9440e-03,0.00760937
-6.9408e-03,0.00682812
-6.9376e-03,0.00793749
-6.9344e-03,0.00751562
-6.9312e-03,0.00809374
-6.9280e-03,0.00698437
-6.9248e-03,0.00815624
-6.9216e-03,0.00690624
-6.9184e-03,0.00765624
-6.9152e-03,0.00695312
-6.9120e-03,0.00698437
-6.9088e-03,0.00685937
-6.9056e-03,0.00731249
-6.9024e-03,0.00784374
-6.8992e-03,0.00709374
-6.8960e-03,0.00799999
-6.8928e-03,0.00662499
-6.8896e-03,0.00851562
-6.8864e-03,0.00782812
-6.8832e-03,0.00762499
-6.8800e-03,0.00679687
-6.8768e-03,0.00818749
-6.8736e-03,0.00673437
-6.8704e-03,0.00734374
-6.8672e-03,0.00643749
-6.8640e-03,0.00715624
-6.8608e-03,0.00779687
-6.8576e-03,0.00670312
-6.8544e-03,0.00809374
-6.8512e-03,0.00715624
-6.8480e-03,0.00782812
-6.8448e-03,0.00645312
-6.8416e-03,0.00656249
-6.8384e-03,0.00623437
-6.8352e-03,0.00820312
-6.8320e-03,0.00704687
-6.8288e-03,0.00726562
-6.8256e-03,0.00690624
-6.8224e-03,0.00737499
-6.8192e-03,0.00693749
-6.8160e-03,0.00707812
-6.8128e-03,0.00624999
-6.8096e-03,0.00649999
-6.8064e-03,0.00812499
-6.8032e-03,0.00764062
-6.8000e-03,0.00906249
-6.7968e-03,0.00731249
-6.7936e-03,0.00770312
-6.7904e-03,0.00715624
-6.7872e-03,0.00779687
-6.7840e-03,0.00657812
-6.7808e-03,0.00881249
-6.7776e-03,0.00645312
-6.7744e-03,0.00723437
-6.7712e-03,0.00660937
-6.7680e-03,0.00818749
-6.7648e-03,0.00762499
-6.7616e-03,0.00726562
-6.7584e-03,0.00718749
-6.7552e-03,0.00842187
-6.7520e-03,0.00823437
-6.7488e-03,0.00687499
-6.7456e-03,0.00839062
-6.7424e-03,0.00768749
-6.7392e-03,0.00884374
-6.7360e-03,0.00715624
-6.7328e-03,0.00770312
-6.7296e-03,0.00620312
-6.7264e-03,0.00721874
-6.7232e-03,0.00662499
-6.7200e-03,0.00773437
-6.7168e-03,0.00803124
-6.7136e-03,0.00639062
-6.7104e-03,0.00798437
-6.7072e-03,0.00734374
-6.7040e-03,0.00851562
-6.7008e-03,0.00643749
-6.6976e-03,0.00768749
-6.6944e-03,0.00670312
-6.6912e-03,0.00782812
-6.6880e-03,0.00709374
-6.6848e-03,0.00748437
-6.6816e-03,0.00709374
-6.6784e-03,0.00832812
-6.6752e-03,0.00706249
-6.6720e-03,0.00695312
-6.6688e-03,0.00626562
-6.6656e-03,0.00770312
-6.6624e-03,0.00728124
-6.6592e-03,0.00799999
-6.6560e-03,0.00707812
-6.6528e-03,0.00676562
-6.6496e-03,0.00756249
-6.6464e-03,0.00756249
-6.6432e-03,0.00814062
-6.6400e-03,0.00720312
-6.6368e-03,0.00806249
-6.6336e-03,0.00706249
-6.6304e-03,0.00884374
-6.6272e-03,0.00751562
-6.6240e-03,0.00920312
-6.6208e-03,0.00843749
-6.6176e-03,0.00756249
-6.6144e-03,0.00793749
-6.6112e-03,0.00718749
-6.6080e-03,0.00774999
-6.6048e-03,0.00723437
-6.6016e-03,0.00743749
-6.5984e-03,0.00729687
-6.5952e-03,0.00789062
-6.5920e-03,0.00806249
-6.5888e-03,0.00670312
-6.5856e-03,0.00795312
-6.5824e-03,0.00626562
-6.5792e-03,0.00754687
-6.5760e-03,0.00665624
-6.5728e-03,0.00684374
-6.5696e-03,0.00643749
-6.5664e-03,0.00706249
-6.5632e-03,0.00723437
-6.5600e-03,0.00670312
-6.5568e-03,0.00718749
-6.5536e-03,0.00629687
-6.5504e-03,0.00765624
-6.5472e-03,0.00681249
-6.5440e-03,0.00731249
-6.5408e-03,0.00671874
-6.5376e-03,0.00834374
-6.5344e-03,0.00742187
-6.5312e-03,0.00837499
-6.5280e-03,0.00685937
-6.5248e-03,0.00851562
-6.5216e-03,0.00707812
-6.5184e-03,0.00867187
-6.5152e-03,0.00809374
-6.5120e-03,0.00839062
-6.5088e-03,0.00746874
-6.5056e-03,0.00749999
-6.5024e-03,0.00696874
-6.4992e-03,0.00693749
-6.4960e-03,0.00693749
-6.4928e-03,0.00785937
-6.4896e-03,0.00765624
-6.4864e-03,0.00687499
-6.4832e-03,0.00734374
-6.4800e-03,0.00695312
-6.4768e-03,0.00718749
-6.4736e-03,0.00603124
-6.4704e-03,0.00740624
-6.4672e-03,0.00729687
-6.4640e-03,0.00757812
-6.4608e-03,0.00620312
-6.4576e-03,0.00778124
-6.4544e-03,0.00715624
-6.4512e-03,0.00779687
-6.4480e-03,0.00717187
-6.4448e-03,0.00845312
-6.4416e-03,0.00720312
-6.4384e-03,0.00718749
-6.4352e-03,0.00784374
-6.4320e-03,0.00753124
-6.4288e-03,0.00798437
-6.4256e-03,0.00740624
-6.4224e-03,0.00860937
-6.4192e-03,0.00756249
-6.4160e-03,0.00917187
-6.4128e-03,0.00778124
-6.4096e-03,0.00843749
-6.4064e-03,0.00704687
-6.4032e-03,0.00826562
-6.4000e-03,0.00742187
-6.3968e-03,0.00823437
-6.3936e-03,0.00904687
-6.3904e-03,0.00737499
-6.3872e-03,0.00826562
-6.3840e-03,0.00749999
-6.3808e-03,0.00807812
-6.3776e-03,0.00710937
-6.3744e-03,0.00842187
-6.3712e-03,0.00712499
-6.3680e-03,0.00843749
-6.3648e-03,0.00743749
-6.3616e-03,0.00851562
-6.3584e-03,0.00742187
-6.3552e-03,0.00835937
-6.3520e-03,0.00754687
-6.3488e-03,0.00704687
-6.3456e-03,0.00712499
-6.3424e-03,0.00729687
-6.3392e-03,0.00787499
-6.3360e-03,0.00776562
-6.3328e-03,0.00840624
-6.3296e-03,0.00790624
-6.3264e-03,0.00898437
-6.3232e-03,0.00762499
-6.3200e-03,0.00912499
-6.3168e-03,0.00790624
-6.3136e-03,0.00801562
-6.3104e-03,0.00753124
-6.3072e-03,0.00670312
-6.3040e-03,0.00824999
-6.3008e-03,0.00784374
-6.2976e-03,0.00842187
-6.2944e-03,0.00843749
-6.2912e-03,0.00720312
-6.2880e-03,0.00618749
-6.2848e-03,0.00867187
-6.2816e-03,0.00743749
-6.2784e-03,0.00759374
-6.2752e-03,0.00821874
-6.2720e-03,0.00676562
-6.2688e-03,0.00776562
-6.2656e-03,0.00684374
-6.2624e-03,0.00801562
-6.2592e-03,0.00689062
-6.2560e-03,0.00856249
-6.2528e-03,0.00696874
-6.2496e-03,0.00826562
-6.2464e-03,0.00782812
-6.2432e-03,0.00729687
-6.2400e-03,0.00726562
-6.2368e-03,0.00756249
-6.2336e-03,0.00684374
-6.2304e-03,0.00826562
-6.2272e-03,0.00774999
-6.2240e-03,0.00606249
-6.2208e-03,0.00807812
-6.2176e-03,0.00723437
-6.2144e-03,0.00859374
-6.2112e-03,0.00726562
-6.2080e-03,0.00803124
-6.2048e-03,0.00770312
-6.2016e-03,0.00785937
-6.1984e-03,0.00715624
-6.1952e-03,0.00717187
-6.1920e-03,0.00601562
-6.1888e-03,0.00662499
-6.1856e-03,0.00671874
-6.1824e-03,0.00720312
-6.1792e-03,0.00726562
-6.1760e-03,0.00689062
-6.1728e-03,0.00745312
-6.1696e-03,0.00706249
-6.1664e-03,0.00856249
-6.1632e-03,0.00703124
-6.1600e-03,0.00859374
-6.1568e-03,0.00784374
-6.1536e-03,0.00884374
-6.1504e-03,0.00818749
-6.1472e-03,0.00812499
-6.1440e-03,0.00834374
-6.1408e-03,0.00835937
-6.1376e-03,0.00857812
-6.1344e-03,0.00768749
-6.1312e-03,0.00885937
-6.1280e-03,0.00720312
-6.1248e-03,0.00885937
-6.1216e-03,0.00762499
-6.1184e-03,0.00898437
-6.1152e-03,0.00835937
-6.1120e-03,0.00812499
