Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.111
Label,
TIME,CH2
-4.6752e-03,0.0087239
-4.6720e-03,0.00948702
-4.6688e-03,0.00750983
-4.6656e-03,0.00915749
-4.6624e-03,0.00756186
-4.6592e-03,0.00922686
-4.6560e-03,0.00742311
-4.6528e-03,0.0087239
-4.6496e-03,0.00778733
-4.6464e-03,0.00865452
-4.6432e-03,0.00790874
-4.6400e-03,0.00870655
-4.6368e-03,0.00896671
-4.6336e-03,0.0080128
-4.6304e-03,0.00998999
-4.6272e-03,0.00910546
-4.6240e-03,0.00957374
-4.6208e-03,0.00804749
-4.6176e-03,0.00908811
-4.6144e-03,0.00728436
-4.6112e-03,0.0087239
-4.6080e-03,0.00787405
-4.6048e-03,0.00858515
-4.6016e-03,0.00771796
-4.5984e-03,0.00832499
-4.5952e-03,0.00803015
-4.5920e-03,0.00889733
-4.5888e-03,0.00830765
-4.5856e-03,0.00735374
-4.5824e-03,0.0081689
-4.5792e-03,0.00719765
-4.5760e-03,0.00882796
-4.5728e-03,0.00683343
-4.5696e-03,0.00768327
-4.5664e-03,0.00723233
-4.5632e-03,0.00815155
-4.5600e-03,0.0069028
-4.5568e-03,0.00742311
-4.5536e-03,0.00698952
-4.5504e-03,0.00750983
-4.5472e-03,0.00723233
-4.5440e-03,0.00750983
-4.5408e-03,0.00672936
-4.5376e-03,0.0071803
-4.5344e-03,0.00716296
-4.5312e-03,0.00858515
-4.5280e-03,0.00886265
-4.5248e-03,0.00766593
-4.5216e-03,0.00796077
-4.5184e-03,0.00738843
-4.5152e-03,0.00827296
-4.5120e-03,0.00683343
-4.5088e-03,0.00855046
-4.5056e-03,0.00827296
-4.5024e-03,0.00889733
-4.4992e-03,0.00893202
-4.4960e-03,0.00917483
-4.4928e-03,0.00787405
-4.4896e-03,0.00882796
-4.4864e-03,0.00766593
-4.4832e-03,0.00770061
-4.4800e-03,0.00728436
-4.4768e-03,0.00754452
-4.4736e-03,0.00702421
-4.4704e-03,0.00811686
-4.4672e-03,0.00867186
-4.4640e-03,0.00686811
-4.4608e-03,0.00749249
-4.4576e-03,0.00787405
-4.4544e-03,0.00830765
-4.4512e-03,0.00747515
-4.4480e-03,0.00839436
-4.4448e-03,0.00742311
-4.4416e-03,0.00929624
-4.4384e-03,0.00747515
-4.4352e-03,0.0084464
-4.4320e-03,0.00820358
-4.4288e-03,0.00920952
-4.4256e-03,0.00896671
-4.4224e-03,0.00908811
-4.4192e-03,0.00855046
-4.4160e-03,0.00787405
-4.4128e-03,0.00901874
-4.4096e-03,0.00763124
-4.4064e-03,0.00818624
-4.4032e-03,0.00692015
-4.4000e-03,0.00783936
-4.3968e-03,0.00672936
-4.3936e-03,0.00868921
-4.3904e-03,0.00830765
-4.3872e-03,0.00920952
-4.3840e-03,0.00830765
-4.3808e-03,0.00700686
-4.3776e-03,0.00818624
-4.3744e-03,0.00712827
-4.3712e-03,0.00842905
-4.3680e-03,0.00707624
-4.3648e-03,0.0084464
-4.3616e-03,0.0070589
-4.3584e-03,0.00835968
-4.3552e-03,0.00808218
-4.3520e-03,0.00750983
-4.3488e-03,0.00719765
-4.3456e-03,0.00901874
-4.3424e-03,0.00775265
-4.3392e-03,0.00782202
-4.3360e-03,0.00806483
-4.3328e-03,0.00822093
-4.3296e-03,0.00794343
-4.3264e-03,0.0077353
-4.3232e-03,0.00825561
-4.3200e-03,0.00803015
-4.3168e-03,0.00879327
-4.3136e-03,0.00785671
-4.3104e-03,0.00763124
-4.3072e-03,0.00719765
-4.3040e-03,0.00830765
-4.3008e-03,0.00889733
-4.2976e-03,0.00972983
-4.2944e-03,0.00907077
-4.2912e-03,0.00702421
-4.2880e-03,0.00766593
-4.2848e-03,0.0073364
-4.2816e-03,0.00837702
-4.2784e-03,0.00771796
-4.2752e-03,0.00835968
-4.2720e-03,0.00719765
-4.2688e-03,0.00783936
-4.2656e-03,0.00778733
-4.2624e-03,0.00742311
-4.2592e-03,0.00799546
-4.2560e-03,0.00752718
-4.2528e-03,0.00815155
-4.2496e-03,0.00835968
-4.2464e-03,0.00858515
-4.2432e-03,0.00830765
-4.2400e-03,0.00908811
-4.2368e-03,0.00771796
-4.2336e-03,0.00886265
-4.2304e-03,0.00787405
-4.2272e-03,0.00971249
-4.2240e-03,0.00782202
-4.2208e-03,0.00910546
-4.2176e-03,0.00787405
-4.2144e-03,0.00783936
-4.2112e-03,0.00671202
-4.2080e-03,0.00797811
-4.2048e-03,0.00820358
-4.2016e-03,0.0078914
-4.1984e-03,0.00867186
-4.1952e-03,0.00809952
-4.1920e-03,0.00834233
-4.1888e-03,0.00709358
-4.1856e-03,0.00946968
-4.1824e-03,0.0080128
-4.1792e-03,0.0100941
-4.1760e-03,0.00936561
-4.1728e-03,0.0088453
-4.1696e-03,0.00744046
-4.1664e-03,0.00861983
-4.1632e-03,0.00936561
-4.1600e-03,0.00787405
-4.1568e-03,0.00945233
-4.1536e-03,0.00874124
-4.1504e-03,0.00865452
-4.1472e-03,0.00794343
-4.1440e-03,0.0088453
-4.1408e-03,0.00832499
-4.1376e-03,0.00771796
-4.1344e-03,0.00679874
-4.1312e-03,0.00728436
-4.1280e-03,0.00698952
-4.1248e-03,0.00799546
-4.1216e-03,0.00770061
-4.1184e-03,0.00759655
-4.1152e-03,0.00787405
-4.1120e-03,0.0077353
-4.1088e-03,0.00726702
-4.1056e-03,0.00695483
-4.1024e-03,0.00652124
-4.0992e-03,0.00790874
-4.0960e-03,0.00754452
-4.0928e-03,0.00818624
-4.0896e-03,0.00823827
-4.0864e-03,0.00870655
-4.0832e-03,0.00920952
-4.0800e-03,0.00775265
-4.0768e-03,0.00889733
-4.0736e-03,0.00766593
-4.0704e-03,0.00929624
-4.0672e-03,0.00782202
-4.0640e-03,0.00870655
-4.0608e-03,0.00744046
-4.0576e-03,0.00933093
-4.0544e-03,0.00771796
-4.0512e-03,0.00882796
-4.0480e-03,0.00822093
-4.0448e-03,0.00787405
-4.0416e-03,0.00834233
-4.0384e-03,0.00830765
-4.0352e-03,0.00851577
-4.0320e-03,0.00879327
-4.0288e-03,0.00915749
-4.0256e-03,0.00809952
-4.0224e-03,0.00860249
-4.0192e-03,0.0073364
-4.0160e-03,0.00787405
-4.0128e-03,0.00811686
-4.0096e-03,0.00692015
-4.0064e-03,0.00799546
-4.0032e-03,0.0073364
-4.0000e-03,0.00855046
-3.9968e-03,0.00738843
-3.9936e-03,0.00823827
-3.9904e-03,0.00771796
-3.9872e-03,0.00926155
-3.9840e-03,0.00842905
-3.9808e-03,0.00825561
-3.9776e-03,0.00903608
-3.9744e-03,0.00804749
-3.9712e-03,0.00905343
-3.9680e-03,0.00740577
-3.9648e-03,0.00809952
-3.9616e-03,0.00735374
-3.9584e-03,0.00905343
-3.9552e-03,0.00806483
-3.9520e-03,0.00737108
-3.9488e-03,0.0084464
-3.9456e-03,0.00825561
-3.9424e-03,0.00936561
-3.9392e-03,0.00742311
-3.9360e-03,0.00908811
-3.9328e-03,0.00719765
-3.9296e-03,0.00825561
-3.9264e-03,0.00790874
-3.9232e-03,0.00858515
-3.9200e-03,0.00731905
-3.9168e-03,0.00908811
-3.9136e-03,0.00744046
-3.9104e-03,0.00858515
-3.9072e-03,0.00771796
-3.9040e-03,0.00853311
-3.9008e-03,0.00797811
-3.8976e-03,0.00780468
-3.8944e-03,0.00742311
-3.8912e-03,0.0088453
-3.8880e-03,0.00865452
-3.8848e-03,0.00858515
-3.8816e-03,0.00825561
-3.8784e-03,0.00804749
-3.8752e-03,0.0085678
-3.8720e-03,0.00825561
-3.8688e-03,0.00889733
-3.8656e-03,0.00870655
-3.8624e-03,0.00893202
-3.8592e-03,0.00846374
-3.8560e-03,0.0094003
-3.8528e-03,0.00815155
-3.8496e-03,0.00981655
-3.8464e-03,0.0087239
-3.8432e-03,0.00889733
-3.8400e-03,0.00803015
-3.8368e-03,0.00962577
-3.8336e-03,0.00914015
-3.8304e-03,0.0085678
-3.8272e-03,0.00903608
-3.8240e-03,0.00790874
-3.8208e-03,0.00914015
-3.8176e-03,0.00870655
-3.8144e-03,0.00941765
-3.8112e-03,0.00901874
-3.8080e-03,0.00848108
-3.8048e-03,0.00908811
-3.8016e-03,0.00782202
-3.7984e-03,0.00858515
-3.7952e-03,0.00778733
-3.7920e-03,0.00894936
-3.7888e-03,0.0082903
-3.7856e-03,0.00806483
-3.7824e-03,0.00796077
-3.7792e-03,0.00756186
-3.7760e-03,0.00787405
-3.7728e-03,0.00891468
-3.7696e-03,0.00933093
-3.7664e-03,0.00813421
-3.7632e-03,0.00903608
-3.7600e-03,0.00837702
-3.7568e-03,0.0082903
-3.7536e-03,0.00695483
-3.7504e-03,0.00882796
-3.7472e-03,0.0073364
-3.7440e-03,0.00783936
-3.7408e-03,0.00792608
-3.7376e-03,0.00894936
-3.7344e-03,0.00776999
-3.7312e-03,0.00849843
-3.7280e-03,0.00747515
-3.7248e-03,0.00889733
-3.7216e-03,0.00874124
-3.7184e-03,0.00794343
-3.7152e-03,0.0102155
-3.7120e-03,0.00853311
-3.7088e-03,0.00950436
-3.7056e-03,0.00794343
-3.7024e-03,0.00809952
-3.6992e-03,0.00672936
-3.6960e-03,0.00922686
-3.6928e-03,0.00846374
-3.6896e-03,0.00830765
-3.6864e-03,0.00770061
-3.6832e-03,0.00865452
-3.6800e-03,0.00849843
-3.6768e-03,0.00770061
-3.6736e-03,0.00893202
-3.6704e-03,0.00809952
-3.6672e-03,0.00938296
-3.6640e-03,0.00759655
-3.6608e-03,0.00953905
-3.6576e-03,0.00787405
-3.6544e-03,0.00867186
-3.6512e-03,0.00752718
-3.6480e-03,0.00756186
-3.6448e-03,0.00882796
