Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-06
Filter Frequency,2e+08
Record Length,20000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.136
Label,
TIME,CH2
-7.9680e-03,0.00822374
-7.9648e-03,0.00907374
-7.9616e-03,0.00818124
-7.9584e-03,0.00775624
-7.9552e-03,0.00779874
-7.9520e-03,0.00818124
-7.9488e-03,0.00839374
-7.9456e-03,0.00803249
-7.9424e-03,0.00796874
-7.9392e-03,0.00815999
-7.9360e-03,0.00832999
-7.9328e-03,0.00730999
-7.9296e-03,0.00788374
-7.9264e-03,0.00788374
-7.9232e-03,0.0108587
-7.9200e-03,0.00911624
-7.9168e-03,0.00905249
-7.9136e-03,0.00843624
-7.9104e-03,0.00934999
-7.9072e-03,0.00905249
-7.9040e-03,0.00779874
-7.9008e-03,0.00820249
-7.8976e-03,0.00801124
-7.8944e-03,0.00771374
-7.8912e-03,0.00794749
-7.8880e-03,0.00826624
-7.8848e-03,0.00709749
-7.8816e-03,0.00886124
-7.8784e-03,0.00824499
-7.8752e-03,0.00924374
-7.8720e-03,0.00890374
-7.8688e-03,0.00994499
-7.8656e-03,0.00881874
-7.8624e-03,0.00866999
-7.8592e-03,0.00847874
-7.8560e-03,0.00794749
-7.8528e-03,0.00654499
-7.8496e-03,0.00822374
-7.8464e-03,0.00873374
-7.8432e-03,0.00781999
-7.8400e-03,0.00873374
-7.8368e-03,0.00758624
-7.8336e-03,0.00832999
-7.8304e-03,0.00796874
-7.8272e-03,0.00841499
-7.8240e-03,0.00809624
-7.8208e-03,0.00883999
-7.8176e-03,0.00803249
-7.8144e-03,0.00866999
-7.8112e-03,0.00866999
-7.8080e-03,0.00869124
-7.8048e-03,0.00862749
-7.8016e-03,0.00769249
-7.7984e-03,0.00841499
-7.7952e-03,0.00809624
-7.7920e-03,0.00943499
-7.7888e-03,0.00866999
-7.7856e-03,0.00898874
-7.7824e-03,0.00796874
-7.7792e-03,0.00883999
-7.7760e-03,0.00822374
-7.7728e-03,0.00852124
-7.7696e-03,0.00784124
-7.7664e-03,0.00841499
-7.7632e-03,0.00798999
-7.7600e-03,0.00762874
-7.7568e-03,0.00837249
-7.7536e-03,0.00811749
-7.7504e-03,0.00915874
-7.7472e-03,0.00805374
-7.7440e-03,0.00877624
-7.7408e-03,0.00841499
-7.7376e-03,0.00856374
-7.7344e-03,0.00811749
-7.7312e-03,0.00922249
-7.7280e-03,0.00862749
-7.7248e-03,0.00864874
-7.7216e-03,0.00813874
-7.7184e-03,0.00824499
-7.7152e-03,0.00852124
-7.7120e-03,0.00813874
-7.7088e-03,0.00924374
-7.7056e-03,0.00832999
-7.7024e-03,0.0100725
-7.6992e-03,0.00818124
-7.6960e-03,0.00881874
-7.6928e-03,0.00794749
-7.6896e-03,0.00843624
-7.6864e-03,0.00809624
-7.6832e-03,0.00843624
-7.6800e-03,0.00809624
-7.6768e-03,0.00803249
-7.6736e-03,0.00835124
-7.6704e-03,0.00801124
-7.6672e-03,0.00832999
-7.6640e-03,0.00811749
-7.6608e-03,0.00822374
-7.6576e-03,0.00822374
-7.6544e-03,0.00807499
-7.6512e-03,0.00779874
-7.6480e-03,0.00905249
-7.6448e-03,0.00841499
-7.6416e-03,0.00856374
-7.6384e-03,0.00847874
-7.6352e-03,0.00920124
-7.6320e-03,0.00939249
-7.6288e-03,0.00830874
-7.6256e-03,0.00890374
-7.6224e-03,0.00709749
-7.6192e-03,0.00790499
-7.6160e-03,0.00854249
-7.6128e-03,0.00824499
-7.6096e-03,0.00773499
-7.6064e-03,0.00873374
-7.6032e-03,0.00896749
-7.6000e-03,0.00852124
-7.5968e-03,0.00835124
-7.5936e-03,0.00843624
-7.5904e-03,0.00852124
-7.5872e-03,0.00824499
-7.5840e-03,0.00896749
-7.5808e-03,0.00839374
-7.5776e-03,0.0102637
-7.5744e-03,0.00862749
-7.5712e-03,0.00852124
-7.5680e-03,0.00735249
-7.5648e-03,0.00909499
-7.5616e-03,0.00809624
-7.5584e-03,0.00764999
-7.5552e-03,0.00764999
-7.5520e-03,0.00983874
-7.5488e-03,0.00881874
-7.5456e-03,0.00822374
-7.5424e-03,0.00852124
-7.5392e-03,0.00911624
-7.5360e-03,0.0104762
-7.5328e-03,0.00798999
-7.5296e-03,0.00737374
-7.5264e-03,0.00756499
-7.5232e-03,0.00913749
-7.5200e-03,0.00907374
-7.5168e-03,0.00939249
-7.5136e-03,0.00798999
-7.5104e-03,0.00924374
-7.5072e-03,0.00852124
-7.5040e-03,0.00843624
-7.5008e-03,0.00779874
-7.4976e-03,0.00875499
-7.4944e-03,0.00968999
-7.4912e-03,0.00890374
-7.4880e-03,0.00909499
-7.4848e-03,0.00830874
-7.4816e-03,0.00856374
-7.4784e-03,0.00771374
-7.4752e-03,0.00852124
-7.4720e-03,0.00798999
-7.4688e-03,0.00854249
-7.4656e-03,0.00796874
-7.4624e-03,0.00852124
-7.4592e-03,0.00973249
-7.4560e-03,0.00798999
-7.4528e-03,0.00818124
-7.4496e-03,0.00803249
-7.4464e-03,0.00858499
-7.4432e-03,0.00828749
-7.4400e-03,0.00909499
-7.4368e-03,0.00798999
-7.4336e-03,0.00909499
-7.4304e-03,0.00754374
-7.4272e-03,0.00934999
-7.4240e-03,0.00858499
-7.4208e-03,0.0100087
-7.4176e-03,0.00856374
-7.4144e-03,0.00998749
-7.4112e-03,0.00905249
-7.4080e-03,0.00843624
-7.4048e-03,0.00818124
-7.4016e-03,0.00866999
-7.3984e-03,0.00883999
-7.3952e-03,0.00784124
-7.3920e-03,0.00790499
-7.3888e-03,0.00786249
-7.3856e-03,0.00877624
-7.3824e-03,0.00790499
-7.3792e-03,0.00815999
-7.3760e-03,0.00711874
-7.3728e-03,0.00847874
-7.3696e-03,0.00875499
-7.3664e-03,0.00803249
-7.3632e-03,0.00890374
-7.3600e-03,0.00835124
-7.3568e-03,0.00832999
-7.3536e-03,0.00830874
-7.3504e-03,0.00892499
-7.3472e-03,0.00807499
-7.3440e-03,0.00983874
-7.3408e-03,0.00837249
-7.3376e-03,0.00841499
-7.3344e-03,0.00807499
-7.3312e-03,0.00926499
-7.3280e-03,0.00862749
-7.3248e-03,0.00896749
-7.3216e-03,0.00820249
-7.3184e-03,0.00824499
-7.3152e-03,0.00737374
-7.3120e-03,0.00862749
-7.3088e-03,0.00826624
-7.3056e-03,0.00794749
-7.3024e-03,0.00794749
-7.2992e-03,0.00788374
-7.2960e-03,0.00856374
-7.2928e-03,0.00726749
-7.2896e-03,0.00824499
-7.2864e-03,0.00824499
-7.2832e-03,0.00883999
-7.2800e-03,0.00813874
-7.2768e-03,0.00873374
-7.2736e-03,0.00801124
-7.2704e-03,0.00824499
-7.2672e-03,0.00790499
-7.2640e-03,0.00898874
-7.2608e-03,0.00926499
-7.2576e-03,0.00824499
-7.2544e-03,0.00796874
-7.2512e-03,0.00807499
-7.2480e-03,0.00813874
-7.2448e-03,0.00743749
-7.2416e-03,0.00932874
-7.2384e-03,0.00809624
-7.2352e-03,0.00894624
-7.2320e-03,0.00805374
-7.2288e-03,0.00892499
-7.2256e-03,0.00968999
-7.2224e-03,0.00926499
-7.2192e-03,0.00939249
-7.2160e-03,0.00875499
-7.2128e-03,0.00943499
-7.2096e-03,0.00807499
-7.2064e-03,0.00994499
-7.2032e-03,0.00828749
-7.2000e-03,0.00832999
-7.1968e-03,0.00801124
-7.1936e-03,0.00920124
-7.1904e-03,0.00845749
-7.1872e-03,0.00983874
-7.1840e-03,0.00862749
-7.1808e-03,0.00826624
-7.1776e-03,0.00877624
-7.1744e-03,0.00888249
-7.1712e-03,0.00909499
-7.1680e-03,0.00856374
-7.1648e-03,0.00896749
-7.1616e-03,0.00860624
-7.1584e-03,0.00892499
-7.1552e-03,0.00873374
-7.1520e-03,0.00905249
-7.1488e-03,0.00798999
-7.1456e-03,0.0100512
-7.1424e-03,0.00888249
-7.1392e-03,0.00805374
-7.1360e-03,0.00826624
-7.1328e-03,0.00968999
-7.1296e-03,0.0101787
-7.1264e-03,0.00843624
-7.1232e-03,0.00871249
-7.1200e-03,0.00824499
-7.1168e-03,0.00900999
-7.1136e-03,0.00845749
-7.1104e-03,0.00943499
-7.1072e-03,0.00879749
-7.1040e-03,0.00939249
-7.1008e-03,0.00858499
-7.0976e-03,0.00858499
-7.0944e-03,0.00805374
-7.0912e-03,0.00886124
-7.0880e-03,0.00900999
-7.0848e-03,0.00837249
-7.0816e-03,0.00886124
-7.0784e-03,0.00807499
-7.0752e-03,0.00837249
-7.0720e-03,0.00873374
-7.0688e-03,0.00954124
-7.0656e-03,0.00866999
-7.0624e-03,0.00926499
-7.0592e-03,0.00843624
-7.0560e-03,0.00832999
-7.0528e-03,0.00786249
-7.0496e-03,0.00824499
-7.0464e-03,0.00794749
-7.0432e-03,0.00826624
-7.0400e-03,0.00786249
-7.0368e-03,0.00837249
-7.0336e-03,0.00843624
-7.0304e-03,0.00941374
-7.0272e-03,0.00973249
-7.0240e-03,0.00813874
-7.0208e-03,0.00858499
-7.0176e-03,0.00798999
-7.0144e-03,0.00869124
-7.0112e-03,0.00788374
-7.0080e-03,0.00852124
-7.0048e-03,0.00773499
-7.0016e-03,0.00837249
-6.9984e-03,0.00869124
-6.9952e-03,0.00994499
-6.9920e-03,0.00968999
-6.9888e-03,0.00828749
-6.9856e-03,0.00979624
-6.9824e-03,0.00841499
-6.9792e-03,0.00843624
-6.9760e-03,0.00781999
-6.9728e-03,0.00937124
-6.9696e-03,0.00886124
-6.9664e-03,0.00903124
-6.9632e-03,0.00809624
-6.9600e-03,0.00835124
-6.9568e-03,0.00767124
-6.9536e-03,0.00892499
-6.9504e-03,0.00879749
-6.9472e-03,0.00794749
-6.9440e-03,0.00847874
-6.9408e-03,0.00813874
-6.9376e-03,0.00798999
